Model Name,Loss,Accuracy
lenet_Adam_lr0.0001_epochs10.h5,0.5242666602134705,0.8683750033378601
lenet_Adam_lr0.0001_epochs5.h5,0.8479625582695007,0.8101249933242798
lenet_Adam_lr0.001_epochs10.h5,0.201734259724617,0.9513750076293945
lenet_Adam_lr0.001_epochs5.h5,0.37506577372550964,0.9068750143051147
lenet_Adam_lr0.01_epochs10.h5,0.5793505311012268,0.9122499823570251
lenet_Adam_lr0.01_epochs5.h5,0.6568416953086853,0.8663750290870667
lenet_RMSprop_lr0.0001_epochs10.h5,0.7379841804504395,0.8422499895095825
lenet_RMSprop_lr0.0001_epochs5.h5,0.7029006481170654,0.8257499933242798
lenet_RMSprop_lr0.001_epochs10.h5,0.6189252138137817,0.8845000267028809
lenet_RMSprop_lr0.001_epochs5.h5,0.40852025151252747,0.9163749814033508
lenet_RMSprop_lr0.01_epochs10.h5,1.2225788831710815,0.7241250276565552
lenet_RMSprop_lr0.01_epochs5.h5,1.387651801109314,0.784375011920929
lenet_SGD_lr0.0001_epochs10.h5,1.6569479703903198,0.5107499957084656
lenet_SGD_lr0.0001_epochs5.h5,2.2814908027648926,0.1563750058412552
lenet_SGD_lr0.001_epochs10.h5,1.3806614875793457,0.6996250152587891
lenet_SGD_lr0.001_epochs5.h5,1.4720172882080078,0.6581249833106995
lenet_SGD_lr0.01_epochs10.h5,0.5552988052368164,0.862625002861023
lenet_SGD_lr0.01_epochs5.h5,0.7408437728881836,0.8097500205039978
